task_id,mode,conf,overlap_density_tier
HardSynthetic.HardCase035,B2,0.875,low
HardSynthetic.HardCase014,B2,0.875,low
HardSynthetic.HardCase036,B2,0.875,high
HardSynthetic.HardCase038,B2,0.875,high
HardSynthetic.HardCase037,B2,0.9583333333333334,low
HardSynthetic.HardCase040,B2,0.875,low
HardSynthetic.HardCase011,B2,0.875,high
HardSynthetic.HardCase042,B2,0.875,high
HardSynthetic.HardCase043,B2,0.875,medium
HardSynthetic.HardCase044,B2,0.875,low
HardSynthetic.HardCase022,B2,0.875,low
HardSynthetic.HardCase045,B2,0.875,low
HardSynthetic.HardCase048,B2,0.875,low
HardSynthetic.HardCase049,B2,1.0,low
HardSynthetic.HardCase050,B2,0.875,high
HardSynthetic.HardCase051,B2,0.875,low
HardSynthetic.HardCase052,B2,0.875,medium
HardSynthetic.HardCase039,B2,0.875,high
HardSynthetic.HardCase025,B2,0.9583333333333334,low
HardSynthetic.HardCase053,B2,0.875,high
HardSynthetic.HardCase041,B2,0.875,medium
HardSynthetic.HardCase054,B2,0.875,medium
HardSynthetic.HardCase055,B2,0.875,low
HardSynthetic.HardCase030,B2,0.875,high
HardSynthetic.HardCase057,B2,0.875,high
HardSynthetic.HardCase059,B2,0.9583333333333334,low
HardSynthetic.HardCase060,B2,0.875,medium
HardSynthetic.HardCase062,B2,0.875,low
HardSynthetic.HardCase047,B2,0.9583333333333334,low
HardSynthetic.HardCase112,B1,0.875,high
HardSynthetic.HardCase063,B2,0.9583333333333334,low
HardSynthetic.HardCase046,B2,0.875,low
HardSynthetic.HardCase056,B2,0.875,low
HardSynthetic.HardCase061,B2,0.875,high
HardSynthetic.HardCase070,B2,0.8571428571428571,high
HardSynthetic.HardCase071,B2,0.875,medium
HardSynthetic.HardCase064,B2,0.875,medium
HardSynthetic.HardCase073,B2,0.875,low
HardSynthetic.HardCase074,B2,1.0,low
HardSynthetic.HardCase069,B2,0.875,medium
HardSynthetic.HardCase058,B2,0.875,low
HardSynthetic.HardCase076,B2,1.0,low
HardSynthetic.HardCase078,B2,0.875,low
HardSynthetic.HardCase080,B2,0.875,low
HardSynthetic.HardCase081,B2,0.875,high
HardSynthetic.HardCase067,B2,0.875,medium
HardSynthetic.HardCase072,B2,0.875,medium
HardSynthetic.HardCase084,B2,0.875,medium
HardSynthetic.HardCase075,B2,0.875,high
HardSynthetic.HardCase085,B2,0.875,medium
HardSynthetic.HardCase077,B2,0.875,medium
HardSynthetic.HardCase087,B2,0.875,medium
HardSynthetic.HardCase065,B2,0.875,high
HardSynthetic.HardCase088,B2,1.0,low
HardSynthetic.HardCase091,B2,0.9583333333333334,low
HardSynthetic.HardCase066,B2,0.875,medium
HardSynthetic.HardCase068,B2,0.875,medium
HardSynthetic.HardCase092,B2,0.875,high
HardSynthetic.HardCase083,B2,0.875,high
HardSynthetic.HardCase079,B2,0.875,medium
HardSynthetic.HardCase096,B2,0.875,medium
HardSynthetic.HardCase097,B2,0.875,high
HardSynthetic.HardCase086,B2,0.875,high
HardSynthetic.HardCase089,B2,0.875,low
HardSynthetic.HardCase101,B2,0.8571428571428571,high
HardSynthetic.HardCase103,B2,0.875,low
HardSynthetic.HardCase082,B2,0.875,low
HardSynthetic.HardCase105,B2,0.8571428571428571,high
HardSynthetic.HardCase106,B2,0.9583333333333334,low
HardSynthetic.HardCase108,B2,0.875,high
HardSynthetic.HardCase099,B2,0.875,high
HardSynthetic.HardCase100,B2,0.875,high
HardSynthetic.HardCase111,B2,0.9583333333333334,low
HardSynthetic.HardCase107,B2,1.0,low
HardSynthetic.HardCase098,B2,0.9583333333333334,low
HardSynthetic.HardCase113,B2,0.875,high
HardSynthetic.HardCase116,B2,0.875,high
HardSynthetic.HardCase095,B2,0.0,high
HardSynthetic.HardCase104,B2,0.875,medium
HardSynthetic.HardCase090,B2,0.875,medium
HardSynthetic.HardCase118,B2,0.9583333333333334,low
HardSynthetic.HardCase110,B2,0.875,medium
HardSynthetic.HardCase094,B2,0.9583333333333334,low
HardSynthetic.HardCase109,B2,0.875,medium
HardSynthetic.HardCase112,B2,0.875,high
HardSynthetic.HardCase121,B2,0.875,high
HardSynthetic.HardCase123,B2,0.875,medium
HardSynthetic.HardCase125,B2,0.8571428571428571,low
HardSynthetic.HardCase115,B2,0.875,low
HardSynthetic.HardCase124,B2,0.875,low
HardSynthetic.HardCase120,B2,0.875,low
HardSynthetic.HardCase005,M,0.0,medium
HardSynthetic.HardCase001,M,0.875,high
HardSynthetic.HardCase006,M,0.0,high
HardSynthetic.HardCase002,M,0.875,medium
HardSynthetic.HardCase007,M,0.875,medium
HardSynthetic.HardCase009,M,0.875,high
HardSynthetic.HardCase011,M,0.875,high
HardSynthetic.HardCase003,M,0.875,high
HardSynthetic.HardCase008,M,0.875,medium
HardSynthetic.HardCase013,M,0.0,low
HardSynthetic.HardCase010,M,0.9583333333333334,low
HardSynthetic.HardCase012,M,0.875,high
HardSynthetic.HardCase015,M,0.875,high
HardSynthetic.HardCase018,M,0.875,medium
HardSynthetic.HardCase016,M,0.875,medium
HardSynthetic.HardCase017,M,0.875,low
HardSynthetic.HardCase020,M,0.0,medium
HardSynthetic.HardCase122,B2,0.0,low
HardSynthetic.HardCase019,M,0.875,high
HardSynthetic.HardCase117,B2,0.875,high
HardSynthetic.HardCase024,M,0.875,high
HardSynthetic.HardCase025,M,0.9583333333333334,low
HardSynthetic.HardCase023,M,0.875,high
HardSynthetic.HardCase026,M,0.875,medium
HardSynthetic.HardCase028,M,0.875,low
HardSynthetic.HardCase032,M,0.9583333333333334,low
HardSynthetic.HardCase030,M,0.875,high
HardSynthetic.HardCase004,M,0.9583333333333334,low
HardSynthetic.HardCase027,M,0.875,medium
HardSynthetic.HardCase022,M,0.875,low
HardSynthetic.HardCase021,M,0.875,medium
HardSynthetic.HardCase033,M,0.875,low
