mode,attempt,conf,task_id,source
M,2,0.0,HardSynthetic.HardCase003,attempt_history
M,3,0.0,HardSynthetic.HardCase003,attempt_history
M,1,0.0,HardSynthetic.HardCase008,attempt_history
M,2,0.0,HardSynthetic.HardCase008,attempt_history
M,3,0.0,HardSynthetic.HardCase008,attempt_history
M,1,0.0,HardSynthetic.HardCase013,attempt_history
M,2,0.0,HardSynthetic.HardCase013,attempt_history
M,3,0.0,HardSynthetic.HardCase013,attempt_history
M,1,0.0,HardSynthetic.HardCase010,attempt_history
M,2,0.0,HardSynthetic.HardCase010,attempt_history
M,3,0.0,HardSynthetic.HardCase010,attempt_history
M,1,0.0,HardSynthetic.HardCase012,attempt_history
M,2,0.0,HardSynthetic.HardCase012,attempt_history
M,3,0.0,HardSynthetic.HardCase012,attempt_history
M,1,0.0,HardSynthetic.HardCase015,attempt_history
M,2,0.0,HardSynthetic.HardCase015,attempt_history
M,3,0.0,HardSynthetic.HardCase015,attempt_history
M,1,0.0,HardSynthetic.HardCase018,attempt_history
M,2,0.0,HardSynthetic.HardCase018,attempt_history
M,3,0.0,HardSynthetic.HardCase018,attempt_history
M,1,0.0,HardSynthetic.HardCase016,attempt_history
M,2,0.0,HardSynthetic.HardCase016,attempt_history
M,3,0.0,HardSynthetic.HardCase016,attempt_history
M,1,0.0,HardSynthetic.HardCase017,attempt_history
M,2,0.0,HardSynthetic.HardCase017,attempt_history
M,3,0.0,HardSynthetic.HardCase017,attempt_history
M,1,0.0,HardSynthetic.HardCase020,attempt_history
M,2,0.0,HardSynthetic.HardCase020,attempt_history
M,3,0.0,HardSynthetic.HardCase020,attempt_history
B2,1,0.0,HardSynthetic.HardCase122,attempt_history
B2,2,0.0,HardSynthetic.HardCase122,attempt_history
B2,3,0.0,HardSynthetic.HardCase122,attempt_history
M,1,0.0,HardSynthetic.HardCase019,attempt_history
M,2,0.0,HardSynthetic.HardCase019,attempt_history
M,3,0.0,HardSynthetic.HardCase019,attempt_history
B2,1,0.0,HardSynthetic.HardCase117,attempt_history
M,1,0.0,HardSynthetic.HardCase024,attempt_history
M,2,0.0,HardSynthetic.HardCase024,attempt_history
M,3,0.0,HardSynthetic.HardCase024,attempt_history
M,1,0.0,HardSynthetic.HardCase025,attempt_history
M,2,0.0,HardSynthetic.HardCase025,attempt_history
M,3,0.0,HardSynthetic.HardCase025,attempt_history
M,1,0.0,HardSynthetic.HardCase023,attempt_history
M,2,0.0,HardSynthetic.HardCase023,attempt_history
M,3,0.0,HardSynthetic.HardCase023,attempt_history
M,1,0.0,HardSynthetic.HardCase026,attempt_history
M,2,0.0,HardSynthetic.HardCase026,attempt_history
M,3,0.0,HardSynthetic.HardCase026,attempt_history
M,1,0.0,HardSynthetic.HardCase028,attempt_history
M,2,0.0,HardSynthetic.HardCase028,attempt_history
M,3,0.0,HardSynthetic.HardCase028,attempt_history
M,1,0.0,HardSynthetic.HardCase032,attempt_history
M,2,0.0,HardSynthetic.HardCase032,attempt_history
M,3,0.0,HardSynthetic.HardCase032,attempt_history
M,1,0.0,HardSynthetic.HardCase030,attempt_history
M,2,0.0,HardSynthetic.HardCase030,attempt_history
M,3,0.0,HardSynthetic.HardCase030,attempt_history
M,1,0.0,HardSynthetic.HardCase004,attempt_history
M,2,0.0,HardSynthetic.HardCase004,attempt_history
M,3,0.0,HardSynthetic.HardCase004,attempt_history
M,1,0.0,HardSynthetic.HardCase027,attempt_history
M,2,0.0,HardSynthetic.HardCase027,attempt_history
M,3,0.0,HardSynthetic.HardCase027,attempt_history
M,1,0.0,HardSynthetic.HardCase022,attempt_history
M,2,0.0,HardSynthetic.HardCase022,attempt_history
M,3,0.0,HardSynthetic.HardCase022,attempt_history
M,1,0.0,HardSynthetic.HardCase021,attempt_history
M,2,0.0,HardSynthetic.HardCase021,attempt_history
M,3,0.0,HardSynthetic.HardCase021,attempt_history
M,1,0.0,HardSynthetic.HardCase033,attempt_history
M,2,0.0,HardSynthetic.HardCase033,attempt_history
M,3,0.0,HardSynthetic.HardCase033,attempt_history
M,1,0.0,HardSynthetic.HardCase035,attempt_history
M,2,0.0,HardSynthetic.HardCase035,attempt_history
M,3,0.0,HardSynthetic.HardCase035,attempt_history
M,1,0.0,HardSynthetic.HardCase029,attempt_history
M,2,0.0,HardSynthetic.HardCase029,attempt_history
M,3,0.0,HardSynthetic.HardCase029,attempt_history
M,1,0.0,HardSynthetic.HardCase036,attempt_history
M,2,0.0,HardSynthetic.HardCase036,attempt_history
M,3,0.0,HardSynthetic.HardCase036,attempt_history
M,1,0.0,HardSynthetic.HardCase041,attempt_history
M,2,0.0,HardSynthetic.HardCase041,attempt_history
M,3,0.0,HardSynthetic.HardCase041,attempt_history
M,1,0.0,HardSynthetic.HardCase039,attempt_history
M,2,0.0,HardSynthetic.HardCase039,attempt_history
M,3,0.0,HardSynthetic.HardCase039,attempt_history
M,1,0.0,HardSynthetic.HardCase040,attempt_history
M,2,0.0,HardSynthetic.HardCase040,attempt_history
M,3,0.0,HardSynthetic.HardCase040,attempt_history
M,1,0.0,HardSynthetic.HardCase037,attempt_history
M,2,0.0,HardSynthetic.HardCase037,attempt_history
M,3,0.0,HardSynthetic.HardCase037,attempt_history
M,1,0.0,HardSynthetic.HardCase014,attempt_history
M,2,0.0,HardSynthetic.HardCase014,attempt_history
M,3,0.0,HardSynthetic.HardCase014,attempt_history
M,1,0.0,HardSynthetic.HardCase038,attempt_history
M,2,0.0,HardSynthetic.HardCase038,attempt_history
M,3,0.0,HardSynthetic.HardCase038,attempt_history
M,1,0.0,HardSynthetic.HardCase048,attempt_history
M,2,0.0,HardSynthetic.HardCase048,attempt_history
M,3,0.0,HardSynthetic.HardCase048,attempt_history
M,1,0.0,HardSynthetic.HardCase042,attempt_history
M,2,0.0,HardSynthetic.HardCase042,attempt_history
M,3,0.0,HardSynthetic.HardCase042,attempt_history
M,1,0.0,HardSynthetic.HardCase046,attempt_history
M,2,0.0,HardSynthetic.HardCase046,attempt_history
M,3,0.0,HardSynthetic.HardCase046,attempt_history
M,1,0.0,HardSynthetic.HardCase034,attempt_history
M,2,0.0,HardSynthetic.HardCase034,attempt_history
M,3,0.0,HardSynthetic.HardCase034,attempt_history
M,1,0.0,HardSynthetic.HardCase043,attempt_history
M,2,0.0,HardSynthetic.HardCase043,attempt_history
