mode,latency_ms,strict_conformance
B2,16057.242100010626,0.9629629629629629
B2,22764.472999959253,0.8888888888888888
B2,22315.209199965466,0.8888888888888888
B2,22387.098900042474,0.8888888888888888
B2,14648.549999983516,0.8888888888888888
B2,15719.197099970188,0.8888888888888888
B2,16804.905899974983,0.9629629629629629
B2,5013.994299981277,0.9629629629629629
B2,11511.83360000141,0.8888888888888888
B2,21542.58840001421,0.8888888888888888
B2,16614.826100005303,0.8888888888888888
B2,21817.741899983957,0.8888888888888888
B2,23160.63260001829,0.8888888888888888
B2,22974.939099978656,0.8888888888888888
B2,5546.877099957783,0.8888888888888888
B2,6150.668900052551,0.8888888888888888
B2,16386.74909999827,0.8888888888888888
B2,9724.468400003389,0.8888888888888888
B2,6275.709200010169,0.8888888888888888
B2,22618.742800026666,0.8888888888888888
B2,15529.597599990666,0.9629629629629629
B2,21466.366500011645,0.8888888888888888
B2,21382.500700012315,0.8888888888888888
B2,12843.217100016773,0.8888888888888888
B2,16481.544899987057,0.8888888888888888
B2,15050.121499982197,0.9629629629629629
B2,13081.669399980456,0.8888888888888888
B2,5927.120800013654,0.8888888888888888
B2,19433.86950000422,0.8888888888888888
B2,21178.034399985336,0.9629629629629629
B2,13415.606800001115,0.0
B2,16832.864700001664,0.9629629629629629
B2,13198.108699987642,0.8888888888888888
B2,3041.314800037071,0.875
B2,3226.059999957215,0.8888888888888888
B2,4144.543299975339,0.8888888888888888
B2,8519.52730002813,0.8888888888888888
B2,5651.364099991042,0.875
B2,5671.512699977029,0.8888888888888888
B2,19447.910200047772,0.0
B2,10741.23069999041,0.9629629629629629
B2,5719.448699965142,0.8888888888888888
B2,3353.8464000448585,0.8888888888888888
B2,3452.9129000147805,0.8888888888888888
B2,7366.1647999542765,0.8888888888888888
B2,37119.99289999949,0.0
B2,6833.226300019305,0.8888888888888888
B2,10926.096199953463,0.8888888888888888
B2,54990.99829996703,0.9629629629629629
B2,53425.25440000463,0.8888888888888888
B2,6177.2312999819405,0.8888888888888888
B2,4716.817600012291,0.8888888888888888
B2,2843.8511999556795,0.8888888888888888
B2,5677.07320000045,0.8888888888888888
B2,3483.173699991312,0.8888888888888888
B2,18825.247499975376,0.8888888888888888
B2,6070.346200023778,0.8888888888888888
B2,3180.625199980568,0.8888888888888888
